,Sampling_start_date,State,County,detection_status_SARSCoV2,sars.cov.2_cocentration_copy_per_ml*,pmmov_concentration**,new_cases***,cumulative_cases***,county_population,wwtp_flow_MGD****,wwtp_flow_mL,Estimated_population_served,Sampling_location_ID
134,4/13/20,ND,McKenzie,not detected,NA,13202768.91,2,8,15024,0.6,2271247200,6500,34dc4cbced3f8dce4668adf9d97bd8339e1e328a
135,5/17/20,ND,McKenzie,not detected,NA,2677526.464,0,15,15024,0.525,1987341300,6500,34dc4cbced3f8dce4668adf9d97bd8339e1e328a
136,5/10/20,ND,McKenzie,not detected,NA,2888249.934,0,15,15024,0.53,2006268360,6500,34dc4cbced3f8dce4668adf9d97bd8339e1e328a
137,4/14/20,UT,Cache,not detected,NA,1641998.561,0,36,128289,13,49210356000,1.00E+05,f1e0e173e8b5c49736263189cb7a90cbda252a14
138,4/20/20,UT,Cache,not detected,NA,706277.339,0,40,128289,10,37854120000,1.00E+05,f1e0e173e8b5c49736263189cb7a90cbda252a14
139,4/20/20,MT,Lewis and Clark,not detected,NA,498803.8215,0,16,69432,3.2,12113318400,28190,44a9099a8968a3520491c5db3ec950b745fba377
140,4/13/20,MT,Lewis and Clark,not detected,NA,1613969.309,0,16,69432,3.2,12113318400,28190,44a9099a8968a3520491c5db3ec950b745fba377
141,5/4/20,MT,Lewis and Clark,not detected,NA,339182.7618,0,16,69432,3.2,12113318400,28190,44a9099a8968a3520491c5db3ec950b745fba377
142,4/26/20,MT,Lewis and Clark,not detected,NA,unmeasured,0,16,69432,3.2,12113318400,28190,44a9099a8968a3520491c5db3ec950b745fba377
143,4/13/20,MT,Yellowstone,not detected,NA,2724026.148,0,48,161300,0.91,3444724920,7980,4e384c5d6e94a8542053da1015f2f0641b7e1f65
144,4/20/20,MT,Yellowstone,not detected,NA,532530.2371,0,72,161300,0.937,3546931044,7980,4e384c5d6e94a8542053da1015f2f0641b7e1f65
145,4/27/20,MT,Yellowstone,not detected,NA,unmeasured,1,79,161300,0.926,3505291512,7980,4e384c5d6e94a8542053da1015f2f0641b7e1f65
146,5/5/20,MT,Yellowstone,not detected,NA,1740989.982,0,83,161300,0.927,3509076924,7980,4e384c5d6e94a8542053da1015f2f0641b7e1f65
147,4/21/20,WY,Teton,not detected,NA,31625.27219,0,62,23464,1.41,5337430920,13036,162648d63290bf5897ebda2464a835db97c3a9d5
148,4/14/20,WY,Teton,not detected,NA,4247474.42,1,57,23464,1.24,4693910880,13036,162648d63290bf5897ebda2464a835db97c3a9d5
149,4/28/20,WY,Teton,not detected,NA,1236665.577,0,64,23464,1.46,5526701520,13036,162648d63290bf5897ebda2464a835db97c3a9d5
150,5/5/20,WY,Teton,not detected,NA,145893.6105,0,67,23464,1.43,5413139160,13036,162648d63290bf5897ebda2464a835db97c3a9d5
151,4/13/20,UT,Davis,quantifiable,56.55109316,2177728.687,5,204,355481,6,22712472000,60000,0bfba1af433ac111ea0cbbb611d23aefb3f9736f
152,4/20/20,UT,Davis,quantifiable,31.73595523,952979.9688,12,242,355481,6,22712472000,60000,0bfba1af433ac111ea0cbbb611d23aefb3f9736f
153,4/27/20,UT,Davis,not detected,NA,94212.33595,1,276,355481,6.3,23848095600,60000,0bfba1af433ac111ea0cbbb611d23aefb3f9736f
154,5/4/20,UT,Davis,not detected,NA,400145.3478,0,299,355481,6.4,24226636800,60000,0bfba1af433ac111ea0cbbb611d23aefb3f9736f
155,4/15/20,ID,Bonneville,quantifiable,21.74533042,2162782.128,8,24,119062,1.5,5678118000,25000,120176666a07f5d232a9f4618142c6d07df77c9a
156,4/22/20,ID,Bonneville,quantifiable,39.063913,2516603.36,2,26,119062,1.5,5678118000,25000,120176666a07f5d232a9f4618142c6d07df77c9a
157,4/29/20,ID,Bonneville,not detected,NA,unmeasured,1,28,119062,1.5,5678118000,25000,120176666a07f5d232a9f4618142c6d07df77c9a
158,5/6/20,ID,Bonneville,not detected,NA,2423060.579,0,28,119062,1.789,6772102068,25000,120176666a07f5d232a9f4618142c6d07df77c9a
159,4/21/20,ID,Blaine,quantifiable,173.8607332,2341042.36,2,480,23021,0.2,757082400,2428,73496371977ac4813c8af2293babd9494d6c4101
160,4/15/20,ID,Blaine,not detected,NA,2341042.36,11,469,23021,0.19,719228280,2428,73496371977ac4813c8af2293babd9494d6c4101
161,4/29/20,ID,Blaine,not detected,NA,unmeasured,0,497,23021,0.196,741940752,2428,73496371977ac4813c8af2293babd9494d6c4101
162,5/11/20,ID,Blaine,quantifiable,26.07350102,1238060.227,3,506,23021,0.22,832790640,2428,73496371977ac4813c8af2293babd9494d6c4101
163,4/15/20,ID,Madison,not detected,NA,4725973.391,3,8,39907,2.7,10220612400,30000,c7f5092264aa4d2eadf5f89c21f5a227e3ced0b6
164,4/14/20,ID,Madison,not detected,NA,553088.6827,0,5,39907,2.7,10220612400,30000,c7f5092264aa4d2eadf5f89c21f5a227e3ced0b6
165,4/27/20,ID,Madison,not detected,NA,391962.7284,1,9,39907,2.3,8706447600,30000,c7f5092264aa4d2eadf5f89c21f5a227e3ced0b6
166,4/28/20,ID,Madison,not detected,NA,unmeasured,0,9,39907,2.3,8706447600,30000,c7f5092264aa4d2eadf5f89c21f5a227e3ced0b6
167,3/29/20,CA,Orange,not detected,NA,unmeasured,28,431,3175692,7.4,28012048800,149323,3ca8a2ce7ff51b92501c2581c3e9e37df52c15fb
168,4/13/20,CA,Placer,not detected,NA,4493383.867,3,127,398329,4.928,18654510336,75000,acc325bae4331d03c1a43fb63a52e42aa50817d5
169,4/7/20,CA,Placer,not detected,NA,2858566.317,9,115,398329,6.413,24275847156,75000,acc325bae4331d03c1a43fb63a52e42aa50817d5
